Provider,InscClaimAmtReimbursed_x,DeductibleAmtPaid_x,ClaimDuration_x,InpatientClaimCount,InscClaimAmtReimbursed_y,DeductibleAmtPaid_y,ClaimDuration_y,OutpatientClaimCount,Fraud
PRV51056,8000.0,2136.0,3.0,2.0,3590.0,0.0,0.3333333333333333,15.0,0
PRV51057,0.0,0.0,0.0,0.0,5030.0,0.0,0.0,4.0,0
PRV51058,91000.0,5340.0,7.4,5.0,11210.0,100.0,0.43137254901960786,51.0,0
PRV51059,401000.0,26700.0,6.88,25.0,13170.0,150.0,0.84,50.0,1
PRV51060,35000.0,5340.0,4.8,5.0,6920.0,0.0,1.8928571428571428,28.0,0
PRV51061,3000.0,1068.0,8.0,1.0,30720.0,230.0,2.44,100.0,0
PRV51062,45000.0,3204.0,4.333333333333333,3.0,61530.0,350.0,1.5140562248995983,249.0,0
PRV51063,0.0,0.0,0.0,0.0,31380.0,0.0,1.8888888888888888,90.0,0
PRV51064,280000.0,38448.0,5.305555555555555,36.0,53120.0,300.0,1.8066298342541436,181.0,1
PRV51065,75000.0,9612.0,5.6,10.0,810.0,60.0,2.7777777777777777,9.0,0
PRV51066,19000.0,2136.0,2.0,2.0,5320.0,100.0,1.105263157894737,19.0,0
PRV51067,326000.0,12816.0,6.583333333333333,12.0,5320.0,280.0,1.2592592592592593,27.0,1
PRV51068,77000.0,8544.0,3.0,9.0,41280.0,310.0,1.1842105263157894,152.0,0
PRV51070,101000.0,10680.0,4.1,10.0,20290.0,300.0,1.8,70.0,0
PRV51071,0.0,0.0,0.0,0.0,7950.0,20.0,1.8888888888888888,18.0,0
PRV51072,72000.0,11748.0,4.25,12.0,30940.0,140.0,1.2755905511811023,127.0,0
PRV51074,31000.0,5340.0,2.6,5.0,8790.0,80.0,1.6956521739130435,23.0,0
PRV51075,0.0,0.0,0.0,0.0,1870.0,70.0,0.0,7.0,0
PRV51076,0.0,0.0,0.0,0.0,3440.0,50.0,0.7,20.0,0
PRV51077,199000.0,16020.0,5.9375,16.0,4340.0,200.0,3.1666666666666665,12.0,1
PRV51078,76000.0,8544.0,6.666666666666667,9.0,1850.0,0.0,0.125,8.0,0
PRV51081,79000.0,6408.0,6.0,6.0,20550.0,430.0,1.576271186440678,118.0,0
PRV51082,0.0,0.0,0.0,0.0,990.0,0.0,3.6363636363636362,11.0,0
PRV51083,0.0,0.0,0.0,0.0,12780.0,90.0,1.9285714285714286,56.0,0
PRV51084,191000.0,21360.0,5.65,20.0,16530.0,390.0,0.9090909090909091,55.0,1
PRV51086,413000.0,33108.0,4.838709677419355,31.0,17780.0,0.0,2.3285714285714287,70.0,0
PRV51089,177000.0,18156.0,5.166666666666667,18.0,33840.0,340.0,1.6013986013986015,143.0,0
PRV51090,0.0,0.0,0.0,0.0,2420.0,0.0,6.666666666666667,3.0,0
PRV51091,0.0,0.0,0.0,0.0,6920.0,80.0,0.6176470588235294,34.0,0
PRV51093,11000.0,2136.0,6.0,2.0,2410.0,0.0,0.16666666666666666,6.0,0
PRV51096,0.0,0.0,0.0,0.0,1100.0,100.0,0.0,4.0,0
PRV51097,0.0,0.0,0.0,0.0,31460.0,110.0,1.6973684210526316,76.0,0
PRV51098,0.0,0.0,0.0,0.0,250.0,0.0,0.0,3.0,0
PRV51100,78000.0,5340.0,6.0,5.0,0.0,0.0,0.0,0.0,0
PRV51101,16600.0,3204.0,3.3333333333333335,3.0,0.0,0.0,0.0,0.0,0
PRV51102,148000.0,12816.0,4.0,12.0,0.0,0.0,0.0,0.0,0
PRV51103,0.0,0.0,0.0,0.0,440.0,60.0,0.0,6.0,1
PRV51104,0.0,0.0,0.0,0.0,1690.0,110.0,1.4,10.0,0
PRV51105,0.0,0.0,0.0,0.0,6400.0,0.0,2.2222222222222223,9.0,0
PRV51108,156000.0,19224.0,5.2631578947368425,19.0,0.0,0.0,0.0,0.0,0
PRV51109,18000.0,3204.0,6.333333333333333,3.0,0.0,0.0,0.0,0.0,0
PRV51110,27000.0,5340.0,10.2,5.0,0.0,0.0,0.0,0.0,0
PRV51111,0.0,0.0,0.0,0.0,31380.0,100.0,2.4047619047619047,84.0,0
PRV51112,0.0,0.0,0.0,0.0,79860.0,380.0,2.2783505154639174,194.0,0
PRV51113,0.0,0.0,0.0,0.0,38040.0,450.0,2.012987012987013,77.0,0
PRV51114,0.0,0.0,0.0,0.0,51590.0,380.0,1.0,162.0,0
PRV51115,0.0,0.0,0.0,0.0,380.0,20.0,0.0,6.0,0
PRV51117,0.0,0.0,0.0,0.0,370.0,0.0,2.857142857142857,7.0,0
PRV51118,136000.0,14952.0,4.25,16.0,0.0,0.0,0.0,0.0,0
PRV51119,985000.0,96120.0,5.968085106382978,94.0,0.0,0.0,0.0,0.0,1
PRV51120,52000.0,7476.0,4.142857142857143,7.0,0.0,0.0,0.0,0.0,0
PRV51121,81000.0,6408.0,6.5,6.0,0.0,0.0,0.0,0.0,0
PRV51122,0.0,0.0,0.0,0.0,1060.0,0.0,0.0,6.0,0
PRV51123,9000.0,2136.0,2.5,2.0,12460.0,40.0,3.272727272727273,22.0,0
PRV51125,110000.0,12816.0,4.333333333333333,12.0,14120.0,200.0,1.3846153846153846,26.0,0
PRV51126,177000.0,21360.0,6.5,20.0,0.0,0.0,0.0,0.0,1
PRV51128,90000.0,5340.0,6.4,5.0,10410.0,0.0,1.5,34.0,0
PRV51129,0.0,0.0,0.0,0.0,17720.0,380.0,1.7714285714285714,70.0,0
PRV51130,0.0,0.0,0.0,0.0,3960.0,0.0,5.0,4.0,0
PRV51131,0.0,0.0,0.0,0.0,1020.0,0.0,0.0,5.0,0
PRV51132,4000.0,1068.0,4.0,1.0,1270.0,0.0,2.0,5.0,0
PRV51134,0.0,0.0,0.0,0.0,7110.0,80.0,3.6363636363636362,11.0,0
PRV51135,0.0,0.0,0.0,0.0,260.0,0.0,0.0,4.0,0
PRV51136,20000.0,1068.0,2.0,1.0,0.0,0.0,0.0,0.0,0
PRV51137,6000.0,1068.0,7.0,1.0,8160.0,160.0,0.058823529411764705,34.0,0
PRV51138,6000.0,1068.0,1.0,1.0,6890.0,0.0,0.95,20.0,0
PRV51139,41300.0,7476.0,3.857142857142857,7.0,4840.0,0.0,2.1666666666666665,18.0,0
PRV51140,307400.0,49128.0,6.0212765957446805,47.0,88650.0,780.0,1.3629893238434163,281.0,0
PRV51141,0.0,0.0,0.0,0.0,13910.0,170.0,1.66,50.0,0
PRV51142,97000.0,7476.0,7.428571428571429,7.0,5650.0,60.0,0.4666666666666667,30.0,0
PRV51143,0.0,0.0,0.0,0.0,16950.0,250.0,1.1785714285714286,56.0,0
PRV51144,53000.0,4272.0,5.0,4.0,3620.0,220.0,1.5,22.0,0
PRV51145,1600600.0,166608.0,5.937888198757764,161.0,3690.0,80.0,0.45161290322580644,31.0,1
PRV51146,1618200.0,170880.0,5.049382716049383,162.0,45040.0,490.0,1.6940298507462686,134.0,1
PRV51147,0.0,0.0,0.0,0.0,2650.0,210.0,3.0,20.0,0
PRV51148,398400.0,35244.0,4.029411764705882,34.0,63990.0,850.0,1.8585365853658538,205.0,1
PRV51149,1113000.0,123888.0,5.612068965517241,116.0,7080.0,70.0,1.6538461538461537,26.0,1
PRV51151,142000.0,22428.0,4.181818181818182,22.0,41560.0,580.0,1.3453237410071943,139.0,0
PRV51152,0.0,0.0,0.0,0.0,16920.0,300.0,1.5636363636363637,55.0,0
PRV51153,51000.0,4272.0,8.75,4.0,11570.0,360.0,1.0869565217391304,46.0,0
PRV51154,0.0,0.0,0.0,0.0,34050.0,480.0,1.2844036697247707,109.0,0
PRV51155,0.0,0.0,0.0,0.0,17080.0,160.0,0.358974358974359,78.0,0
PRV51156,0.0,0.0,0.0,0.0,82390.0,1030.0,1.3112947658402203,363.0,0
PRV51159,635660.0,69420.0,5.630769230769231,65.0,110450.0,770.0,1.0348101265822784,316.0,1
PRV51160,866000.0,96120.0,5.655555555555556,90.0,1610.0,0.0,0.4375,16.0,0
PRV51164,443000.0,43788.0,6.2926829268292686,41.0,73940.0,420.0,0.9213973799126638,229.0,0
PRV51165,306000.0,27768.0,6.576923076923077,26.0,13360.0,160.0,0.9411764705882353,51.0,0
PRV51166,22000.0,1068.0,16.0,1.0,100.0,0.0,0.0,2.0,0
PRV51167,0.0,0.0,0.0,0.0,36920.0,150.0,1.3388429752066116,121.0,0
PRV51168,63000.0,9612.0,5.222222222222222,9.0,8580.0,140.0,0.3829787234042553,47.0,0
PRV51169,0.0,0.0,0.0,0.0,11630.0,0.0,1.3265306122448979,49.0,0
PRV51170,145000.0,8544.0,6.25,8.0,540.0,0.0,0.0,6.0,1
PRV51171,0.0,0.0,0.0,0.0,10080.0,70.0,2.4705882352941178,34.0,0
PRV51173,90000.0,7476.0,7.857142857142857,7.0,3770.0,200.0,0.0,10.0,1
PRV51175,0.0,0.0,0.0,0.0,3360.0,0.0,0.3333333333333333,21.0,0
PRV51176,0.0,0.0,0.0,0.0,101140.0,470.0,2.2697841726618706,278.0,0
PRV51178,422000.0,36312.0,7.970588235294118,34.0,3870.0,290.0,0.05263157894736842,19.0,1
PRV51179,0.0,0.0,0.0,0.0,3210.0,0.0,1.105263157894737,19.0,0
PRV51180,47000.0,2136.0,1.5,2.0,34360.0,180.0,1.6559139784946237,93.0,0
PRV51181,0.0,0.0,0.0,0.0,2070.0,0.0,2.888888888888889,9.0,0
PRV51183,336800.0,42720.0,4.658536585365853,41.0,15140.0,70.0,1.196078431372549,51.0,0
PRV51185,0.0,0.0,0.0,0.0,590.0,0.0,0.0,6.0,0
PRV51186,0.0,0.0,0.0,0.0,50.0,0.0,0.0,1.0,0
PRV51189,0.0,0.0,0.0,0.0,4790.0,20.0,0.0,36.0,0
PRV51190,24000.0,3204.0,3.6666666666666665,3.0,9250.0,330.0,0.5,48.0,0
PRV51191,0.0,0.0,0.0,0.0,7770.0,0.0,2.2777777777777777,18.0,0
PRV51194,18000.0,2136.0,3.0,2.0,480.0,0.0,0.0,6.0,0
PRV51196,0.0,0.0,0.0,0.0,107720.0,1090.0,1.2549889135254988,451.0,0
PRV51198,0.0,0.0,0.0,0.0,80.0,0.0,0.0,1.0,0
PRV51200,0.0,0.0,0.0,0.0,2520.0,0.0,2.5,12.0,0
PRV51201,0.0,0.0,0.0,0.0,5000.0,50.0,0.8076923076923077,26.0,0
PRV51202,0.0,0.0,0.0,0.0,870.0,0.0,3.4285714285714284,7.0,0
PRV51203,0.0,0.0,0.0,0.0,3630.0,80.0,0.42857142857142855,14.0,0
PRV51204,0.0,0.0,0.0,0.0,82990.0,400.0,1.3597359735973598,303.0,0
PRV51205,0.0,0.0,0.0,0.0,3560.0,70.0,3.3333333333333335,6.0,0
PRV51206,0.0,0.0,0.0,0.0,1510.0,0.0,0.6666666666666666,9.0,0
PRV51207,51000.0,3204.0,14.0,3.0,0.0,0.0,0.0,0.0,0
PRV51209,0.0,0.0,0.0,0.0,7370.0,170.0,1.09375,32.0,0
PRV51210,0.0,0.0,0.0,0.0,870.0,0.0,0.0,5.0,0
PRV51211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
PRV51212,0.0,0.0,0.0,0.0,5850.0,70.0,2.9,10.0,0
PRV51213,0.0,0.0,0.0,0.0,50.0,0.0,0.0,2.0,0
PRV51214,0.0,0.0,0.0,0.0,370.0,0.0,1.3333333333333333,3.0,0
PRV51215,0.0,0.0,0.0,0.0,1210.0,0.0,1.4,5.0,0
PRV51216,0.0,0.0,0.0,0.0,7740.0,310.0,1.5348837209302326,43.0,0
PRV51217,0.0,0.0,0.0,0.0,2900.0,0.0,5.0,4.0,0
PRV51218,0.0,0.0,0.0,0.0,220.0,0.0,0.0,5.0,0
PRV51219,0.0,0.0,0.0,0.0,5170.0,0.0,0.0,6.0,0
PRV51221,0.0,0.0,0.0,0.0,70.0,0.0,0.0,1.0,0
PRV51222,0.0,0.0,0.0,0.0,860.0,0.0,0.0,5.0,0
PRV51224,0.0,0.0,0.0,0.0,2690.0,0.0,0.0,5.0,0
PRV51225,0.0,0.0,0.0,0.0,510.0,0.0,0.0,4.0,0
PRV51226,0.0,0.0,0.0,0.0,3910.0,270.0,1.6666666666666667,12.0,0
PRV51228,0.0,0.0,0.0,0.0,430.0,70.0,0.0,4.0,0
PRV51229,0.0,0.0,0.0,0.0,9790.0,10.0,2.0357142857142856,28.0,0
PRV51230,0.0,0.0,0.0,0.0,6690.0,0.0,0.0,19.0,0
PRV51231,16000.0,2136.0,9.5,2.0,0.0,0.0,0.0,0.0,0
PRV51232,26000.0,1068.0,9.0,1.0,0.0,0.0,0.0,0.0,0
PRV51233,27000.0,3204.0,4.333333333333333,3.0,0.0,0.0,0.0,0.0,0
PRV51234,29000.0,5340.0,8.2,5.0,0.0,0.0,0.0,0.0,0
PRV51235,10000.0,2136.0,2.5,2.0,0.0,0.0,0.0,0.0,0
PRV51236,12000.0,1068.0,1.0,1.0,0.0,0.0,0.0,0.0,0
PRV51237,19000.0,1068.0,1.0,1.0,0.0,0.0,0.0,0.0,0
PRV51238,132000.0,4272.0,13.625,8.0,0.0,0.0,0.0,0.0,0
PRV51239,5000.0,1068.0,3.0,1.0,0.0,0.0,0.0,0.0,0
PRV51240,81000.0,11748.0,5.545454545454546,11.0,3770.0,0.0,1.9259259259259258,27.0,0
PRV51241,78000.0,9612.0,6.8,10.0,7170.0,120.0,0.2692307692307692,26.0,0
PRV51242,88000.0,10680.0,5.545454545454546,11.0,12340.0,370.0,0.5660377358490566,53.0,1
PRV51243,0.0,0.0,0.0,0.0,6080.0,200.0,0.8571428571428571,28.0,0
PRV51244,1796100.0,209328.0,5.885,200.0,254340.0,1730.0,1.4462705436156764,791.0,1
PRV51245,20000.0,3204.0,2.75,4.0,47020.0,260.0,1.8034188034188035,117.0,0
PRV51247,74000.0,9612.0,3.8,10.0,1180.0,110.0,0.38461538461538464,13.0,0
PRV51248,23000.0,1068.0,6.0,1.0,500.0,0.0,0.0,1.0,0
PRV51249,506000.0,51264.0,7.215686274509804,51.0,8420.0,110.0,0.45454545454545453,44.0,1
PRV51250,0.0,0.0,0.0,0.0,15680.0,140.0,1.105263157894737,57.0,0
PRV51251,0.0,0.0,0.0,0.0,1860.0,0.0,5.25,8.0,0
PRV51252,142000.0,18156.0,4.111111111111111,18.0,7690.0,80.0,1.0731707317073171,41.0,0
PRV51253,0.0,0.0,0.0,0.0,15240.0,0.0,1.1818181818181819,55.0,0
PRV51255,11000.0,2136.0,5.0,2.0,16630.0,60.0,1.725,40.0,0
PRV51256,0.0,0.0,0.0,0.0,28730.0,0.0,1.5689655172413792,58.0,0
PRV51258,98000.0,8544.0,4.5,8.0,810.0,0.0,7.333333333333333,3.0,0
PRV51259,150000.0,4272.0,6.25,4.0,1610.0,0.0,1.6666666666666667,12.0,0
PRV51260,78000.0,3204.0,8.666666666666666,3.0,10980.0,0.0,3.425,40.0,0
PRV51261,245000.0,26700.0,5.576923076923077,26.0,9730.0,250.0,2.1641791044776117,67.0,0
PRV51262,0.0,0.0,0.0,0.0,8020.0,40.0,1.7674418604651163,43.0,0
PRV51263,210000.0,19224.0,9.166666666666666,18.0,6880.0,0.0,1.6,15.0,1
PRV51264,0.0,0.0,0.0,0.0,2840.0,120.0,1.1428571428571428,21.0,0
PRV51265,0.0,0.0,0.0,0.0,25600.0,560.0,1.4324324324324325,111.0,0
PRV51266,78300.0,9612.0,6.9,10.0,18950.0,100.0,0.8103448275862069,58.0,0
PRV51267,9000.0,2136.0,3.0,2.0,2710.0,30.0,0.0,8.0,0
PRV51271,17000.0,2136.0,4.0,2.0,17980.0,180.0,0.5813953488372093,86.0,0
PRV51272,22000.0,2136.0,3.0,2.0,24630.0,410.0,2.462962962962963,54.0,0
PRV51273,0.0,0.0,0.0,0.0,76870.0,950.0,1.2144927536231884,345.0,0
PRV51274,165000.0,10680.0,3.6,10.0,7410.0,60.0,0.5,30.0,0
PRV51276,116000.0,14952.0,4.357142857142857,14.0,9580.0,60.0,0.9117647058823529,34.0,0
PRV51277,121000.0,10680.0,5.0,10.0,9760.0,0.0,1.3333333333333333,30.0,0
PRV51279,0.0,0.0,0.0,0.0,35570.0,380.0,1.2374100719424461,139.0,0
PRV51280,0.0,0.0,0.0,0.0,10830.0,0.0,1.7586206896551724,29.0,0
PRV51281,0.0,0.0,0.0,0.0,64350.0,520.0,1.4692737430167597,179.0,0
PRV51282,66000.0,8544.0,3.375,8.0,9730.0,30.0,1.054054054054054,37.0,0
PRV51284,182000.0,17088.0,5.764705882352941,17.0,71820.0,720.0,1.3291666666666666,240.0,0
PRV51285,161000.0,16020.0,7.333333333333333,15.0,22400.0,340.0,0.6304347826086957,92.0,0
PRV51286,136000.0,16020.0,5.2,15.0,6120.0,170.0,1.2307692307692308,39.0,0
PRV51287,0.0,0.0,0.0,0.0,11460.0,0.0,1.9333333333333333,45.0,0
PRV51288,37000.0,3204.0,3.3333333333333335,3.0,220.0,0.0,5.333333333333333,3.0,0
PRV51289,0.0,0.0,0.0,0.0,9670.0,20.0,0.8222222222222222,45.0,0
PRV51290,0.0,0.0,0.0,0.0,10660.0,170.0,1.0632911392405062,79.0,0
PRV51292,0.0,0.0,0.0,0.0,3000.0,0.0,3.4615384615384617,13.0,0
PRV51293,0.0,0.0,0.0,0.0,16960.0,0.0,1.5084745762711864,59.0,0
PRV51295,0.0,0.0,0.0,0.0,1950.0,0.0,2.857142857142857,7.0,0
PRV51296,33000.0,3204.0,11.666666666666666,3.0,1550.0,80.0,0.0,20.0,0
PRV51297,51000.0,5340.0,2.6,5.0,14990.0,0.0,0.2558139534883721,43.0,0
PRV51298,0.0,0.0,0.0,0.0,22950.0,300.0,1.484375,64.0,0
PRV51299,0.0,0.0,0.0,0.0,5340.0,0.0,0.8214285714285714,28.0,0
PRV51300,93000.0,7476.0,3.5714285714285716,7.0,12940.0,160.0,1.4411764705882353,34.0,0
PRV51301,108000.0,6408.0,9.666666666666666,6.0,25360.0,120.0,1.025,80.0,0
PRV51302,76000.0,10680.0,3.9,10.0,4060.0,70.0,0.06896551724137931,29.0,0
PRV51303,0.0,0.0,0.0,0.0,16870.0,100.0,0.6346153846153846,52.0,0
PRV51304,28000.0,2136.0,4.0,2.0,7870.0,0.0,0.029411764705882353,34.0,0
PRV51305,98000.0,11748.0,6.2727272727272725,11.0,11940.0,0.0,1.5384615384615385,26.0,0
PRV51306,0.0,0.0,0.0,0.0,2980.0,100.0,2.0,9.0,0
PRV51307,0.0,0.0,0.0,0.0,4240.0,80.0,2.0,30.0,0
PRV51308,0.0,0.0,0.0,0.0,9620.0,130.0,1.8181818181818181,22.0,0
PRV51309,0.0,0.0,0.0,0.0,1540.0,0.0,0.125,8.0,0
PRV51311,13000.0,3204.0,4.0,3.0,1020.0,0.0,3.8,10.0,0
PRV51312,19000.0,4272.0,4.25,4.0,6560.0,0.0,2.25,28.0,0
PRV51313,0.0,0.0,0.0,0.0,3770.0,90.0,0.14285714285714285,14.0,0
PRV51314,0.0,0.0,0.0,0.0,5240.0,0.0,0.25,24.0,0
PRV51315,0.0,0.0,0.0,0.0,6060.0,270.0,2.0689655172413794,29.0,0
PRV51316,21000.0,3204.0,9.333333333333334,3.0,0.0,0.0,0.0,0.0,0
PRV51318,13000.0,3204.0,3.6666666666666665,3.0,0.0,0.0,0.0,0.0,0
PRV51322,0.0,0.0,0.0,0.0,570.0,0.0,0.14285714285714285,7.0,0
PRV51323,0.0,0.0,0.0,0.0,8090.0,170.0,0.66,50.0,0
PRV51324,0.0,0.0,0.0,0.0,4010.0,0.0,0.9444444444444444,18.0,0
PRV51325,0.0,0.0,0.0,0.0,15070.0,0.0,4.785714285714286,14.0,0
PRV51326,0.0,0.0,0.0,0.0,6110.0,70.0,2.9310344827586206,29.0,0
PRV51327,0.0,0.0,0.0,0.0,3780.0,120.0,0.7777777777777778,27.0,0
PRV51328,0.0,0.0,0.0,0.0,220.0,0.0,0.0,2.0,0
PRV51329,0.0,0.0,0.0,0.0,13610.0,240.0,1.2727272727272727,55.0,0
PRV51330,0.0,0.0,0.0,0.0,2520.0,20.0,0.5384615384615384,13.0,0
PRV51331,0.0,0.0,0.0,0.0,230.0,40.0,0.0,4.0,0
PRV51334,15000.0,2136.0,4.5,2.0,0.0,0.0,0.0,0.0,0
PRV51335,0.0,0.0,0.0,0.0,33430.0,290.0,2.1584158415841586,101.0,0
PRV51336,116000.0,10680.0,5.9,10.0,10250.0,20.0,2.525,40.0,0
PRV51337,350000.0,41652.0,5.075,40.0,20470.0,90.0,1.5060240963855422,83.0,1
PRV51338,73000.0,7476.0,5.428571428571429,7.0,21410.0,390.0,2.0144927536231885,69.0,1
PRV51340,0.0,0.0,0.0,0.0,30610.0,0.0,1.52,100.0,0
PRV51341,0.0,0.0,0.0,0.0,8270.0,0.0,1.186046511627907,43.0,0
PRV51342,319000.0,28836.0,6.178571428571429,28.0,15410.0,340.0,1.0396039603960396,101.0,0
PRV51344,19000.0,2136.0,6.0,2.0,3250.0,0.0,1.8181818181818181,22.0,0
PRV51345,0.0,0.0,0.0,0.0,8070.0,150.0,2.7058823529411766,34.0,0
PRV51346,41000.0,5340.0,4.2,5.0,38080.0,170.0,1.1736526946107784,167.0,0
PRV51347,0.0,0.0,0.0,0.0,375850.0,3380.0,1.269901440485216,1319.0,1
PRV51348,146000.0,20292.0,4.526315789473684,19.0,3500.0,90.0,3.8095238095238093,21.0,0
PRV51349,37000.0,5340.0,12.2,5.0,2170.0,10.0,0.9375,16.0,0
PRV51350,142000.0,22428.0,4.476190476190476,21.0,42630.0,570.0,1.3671875,128.0,0
PRV51351,0.0,0.0,0.0,0.0,6830.0,0.0,3.590909090909091,22.0,0
PRV51352,0.0,0.0,0.0,0.0,400.0,0.0,0.0,1.0,0
PRV51353,50000.0,5340.0,5.4,5.0,970.0,50.0,2.2222222222222223,9.0,0
PRV51354,10000.0,0.0,17.0,1.0,440.0,0.0,6.666666666666667,3.0,0
PRV51355,134100.0,16020.0,4.266666666666667,15.0,3160.0,110.0,1.2352941176470589,34.0,0
PRV51356,167000.0,17088.0,4.176470588235294,17.0,14040.0,100.0,0.7843137254901961,51.0,0
PRV51357,170000.0,12816.0,7.6923076923076925,13.0,25510.0,100.0,1.65625,96.0,1
PRV51358,60000.0,7476.0,2.857142857142857,7.0,400.0,60.0,0.0,8.0,0
PRV51360,86000.0,9612.0,4.333333333333333,9.0,8100.0,150.0,2.8125,16.0,0
PRV51361,0.0,0.0,0.0,0.0,6530.0,130.0,0.9565217391304348,23.0,0
PRV51362,141000.0,6408.0,4.833333333333333,6.0,1890.0,0.0,1.0,21.0,0
PRV51363,0.0,0.0,0.0,0.0,30.0,0.0,0.0,1.0,0
PRV51364,52000.0,6408.0,3.1666666666666665,6.0,2340.0,0.0,1.7777777777777777,9.0,0
PRV51366,0.0,0.0,0.0,0.0,10970.0,180.0,0.9666666666666667,30.0,0
PRV51368,0.0,0.0,0.0,0.0,350.0,0.0,0.0,2.0,0
PRV51369,0.0,0.0,0.0,0.0,384950.0,4120.0,1.5489902767389678,1337.0,1
PRV51371,83400.0,11748.0,4.818181818181818,11.0,6220.0,0.0,1.25,20.0,0
PRV51376,0.0,0.0,0.0,0.0,16690.0,10.0,2.1,40.0,0
PRV51377,102000.0,3204.0,6.666666666666667,3.0,9650.0,240.0,1.2203389830508475,59.0,0
PRV51378,1202000.0,112140.0,6.0092592592592595,108.0,9700.0,40.0,1.1944444444444444,36.0,1
PRV51379,13000.0,2136.0,2.5,2.0,2330.0,20.0,0.0,15.0,0
PRV51380,51000.0,4272.0,4.25,4.0,120.0,0.0,0.0,2.0,0
PRV51382,0.0,0.0,0.0,0.0,6620.0,90.0,3.5833333333333335,12.0,0
